id,seller,price,area_total,area_kitchen,area_living,floor,rooms,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size,bathroom_amount,relative_floor,subway_distance,cluster
14746,2,10000000.0,46.2,10.0,22.0,18,1,2.8,0,1,0,1,0,0,1,1,2204,0,55.542126,37.490209,11,2017,2,18,True,True,True,1,True,0,0.21237347667090425,-2.7070847905196387,46.2,1,1.0,0.02592148060971791,7
14927,4,9000000.0,45.0,7.0,29.6,5,2,2.64,0,1,1,0,1,0,2,1,9411,0,55.67049300000001,37.653783,5,1970,3,9,True,True,False,1,True,0,0.09814507832202175,2.2848055358601154,22.5,1,0.5555555555555556,0.012823897145562665,2
12105,1,12300000.0,58.0,8.7,35.2,3,3,3.2,1,0,2,2,2,0,2,2,1148,0,55.792508,37.80868,3,1950,0,3,True,False,False,3,False,0,0.23623510730365008,1.3238649983855917,19.333333333333332,1,1.0,0.009655965202921056,5
10979,3,22506640.0,83.98,14.4,48.9,24,2,3.1,1,1,2,2,0,0,4,1,3883,1,55.656986,37.559173,6,2019,2,32,False,True,True,1,False,4,0.08041948712693277,-2.88463695444078,41.99,2,0.75,0.014049602307536829,8
14347,2,9690000.0,75.0,13.4,40.7,13,3,2.75,0,1,1,1,0,2,2,1,3364,0,55.939701,37.526178,2,2019,7,14,True,True,True,1,True,4,0.21178701336284314,-0.25505024123781755,25.0,1,0.9285714285714286,0.07374475632205921,0
9059,3,9290810.0,45.7,7.5,24.4,5,2,2.8,1,0,2,2,0,1,4,1,7644,1,55.784177,37.49709,8,2022,2,20,False,True,True,1,False,4,0.09618304707173775,-1.0312730178198706,22.85,1,0.25,0.008248286428100316,3
19817,4,15000000.0,104.0,15.0,61.0,6,3,3.0,0,2,1,0,0,0,2,1,8544,0,55.602393000000006,37.723026,5,2014,2,8,False,True,True,0,False,3,0.19516753718409927,2.3161733225246524,34.666666666666664,2,0.75,0.009500901273027136,2
20549,4,6900000.0,44.7,6.0,28.0,7,2,2.64,0,1,1,0,1,0,1,1,7889,0,55.674423,37.744621,4,1973,0,9,False,True,False,1,True,0,0.1756974946532554,1.921377314748143,22.35,1,0.7777777777777778,0.015853370934911567,2
4817,1,8000000.0,36.0,10.0,20.0,8,1,2.64,1,0,2,2,0,1,4,1,7832,0,55.688081,37.588674,6,1971,4,14,False,True,False,3,True,0,0.04755582519749357,2.9498351535530887,36.0,1,0.5714285714285714,0.015378720265347841,8
14894,1,5999000.0,35.0,8.0,12.0,9,1,2.8,0,1,1,0,0,1,1,2,5375,0,55.541657,37.579834000000005,6,2002,3,16,True,True,True,3,False,0,0.19310829415050096,3.14043577928673,35.0,1,0.5625,0.02604355976052812,7
15802,2,6850000.0,41.5,10.0,20.0,2,1,2.65,1,0,1,0,1,0,1,1,9509,0,55.875354,37.674454,2,1970,7,12,False,True,False,1,True,0,0.16958918434030676,0.5934854460289126,41.5,1,0.16666666666666666,0.01168473499913306,0
20759,4,30900000.0,106.0,12.0,57.0,32,3,3.0,2,0,1,0,0,1,3,1,3463,0,55.66559399999999,37.547594,6,2012,2,40,True,True,True,0,True,1,0.07622147077095201,-2.7080955740917076,35.333333333333336,2,0.8,0.008218082014688747,8
10044,3,14337480.0,97.8,15.7,49.4,4,3,2.72,0,2,1,1,0,0,4,1,8136,1,55.722512,37.772918,4,2021,2,13,False,True,True,1,False,4,0.19369535799396442,1.6340985778669608,32.6,2,0.3076923076923077,0.009613910130642016,5
6434,4,22780696.0,88.03,12.0,30.9,8,2,2.8,1,0,1,0,0,0,3,1,3808,1,55.798115,37.495617,8,2011,2,12,False,True,True,0,True,0,0.10520516200880897,-0.9245984911367522,44.015,1,0.6666666666666666,0.0033319234685087857,3
17095,0,9000000.0,60.2,12.2,29.9,6,2,2.8,0,2,1,0,0,1,1,1,8631,0,55.592637,37.461122,11,2019,2,9,True,True,True,2,False,0,0.1850404364664225,-2.446653186476126,30.1,2,0.6666666666666666,0.024105954720774054,7
12544,3,6809400.0,35.1,9.0,15.5,9,1,2.8,1,0,1,0,1,1,4,1,6512,1,55.854987,37.559155,1,2021,2,24,False,True,True,1,True,0,0.12194966633439598,-0.16853475025294426,35.1,1,0.375,0.002108078271797773,0
10896,3,8566950.0,59.7,20.7,23.4,13,2,2.68,0,2,1,0,0,0,4,1,1516,1,55.667081,37.740174,4,2021,3,25,False,True,True,1,False,4,0.1742462402322059,1.9697340964648256,29.85,2,0.52,0.012692731660285615,2
1251,3,17145633.0,116.2,13.5,30.9,4,4,2.78,0,0,2,2,0,0,4,1,7140,1,55.87593,37.547719,1,2019,2,24,False,True,True,1,False,4,0.14472244016054772,-0.22218750230459106,29.05,0,0.16666666666666666,0.010945431055919276,0
9711,1,6350000.0,39.0,11.5,17.0,11,1,3.0,1,0,1,0,0,1,1,2,9649,0,55.579688,37.671085,5,2013,4,45,True,True,True,0,True,0,0.18004580888769228,2.6086595988061148,39.0,1,0.24444444444444444,0.0411121438142074,2
14612,1,8000000.0,44.0,6.0,31.0,5,2,2.8,1,0,1,0,1,0,1,1,4365,0,55.79553000000001,37.500612,8,1959,0,5,True,False,False,3,False,3,0.09966515776180317,-0.9151270822465998,22.0,1,1.0,0.0040035289433138325,3
10908,3,10148007.0,61.15,11.7,29.6,8,2,2.8,1,1,2,2,0,1,4,1,4571,1,55.666858,37.759866,4,2021,2,22,False,True,True,0,False,4,0.19262241040163713,1.9310806469652941,30.575,2,0.36363636363636365,0.009148755106574766,2
6652,2,22000000.0,95.0,15.0,50.0,8,2,3.1,0,1,1,0,0,1,2,2,4579,0,55.848690000000005,37.436203000000006,8,2000,2,12,False,True,True,1,True,0,0.18315186927327026,-0.8994714957933497,47.5,1,0.6666666666666666,0.0038491179508973136,3
19909,3,7012500.0,42.5,10.7,17.2,9,1,3.5,1,0,1,0,0,1,4,1,7646,1,55.627265,37.342427,11,2016,2,9,False,True,True,3,True,0,0.26040803488386705,-1.9963381207486945,42.5,1,1.0,0.010184780508188926,1
20966,3,6399290.0,56.5,10.7,27.5,5,2,2.8,1,1,2,2,0,0,4,1,2850,1,55.755814,37.617635,0,2022,2,25,False,True,True,1,False,4,0.04346157617234715,1.0652230713421829,28.25,2,0.2,0.002151330053710839,8
21855,4,5850000.0,41.6,10.7,30.9,2,1,3.0,1,0,0,1,0,0,0,1,5428,0,55.592256000000006,37.459361,11,2019,7,13,False,True,True,0,True,4,0.18646401238203464,-2.440707544688115,41.6,1,0.15384615384615385,0.02365607864799493,7
2804,3,61243142.0,160.9,15.0,88.7,27,4,3.1,3,0,1,0,0,1,4,1,4555,0,55.716037,37.503998,7,2017,2,39,True,True,True,0,True,0,0.07789742705538732,-1.813595712391269,40.225,3,0.6923076923076923,0.01105879618222892,8
13341,4,15951360.0,64.32,10.7,52.2,10,1,0.0,0,0,2,2,0,0,4,1,3773,1,55.707522,37.655912,5,2019,2,16,True,True,False,0,True,4,0.08101909638050991,1.913734998307592,64.32,0,0.625,0.0016924030252881087,8
19819,1,5550000.0,38.4,10.6,19.4,4,1,2.65,1,0,1,0,1,0,1,1,4953,0,55.52039499999999,37.355165,11,2020,4,12,False,True,True,0,False,4,0.31037138090381616,-2.333238015125782,38.4,1,0.3333333333333333,0.09649476281125849,1
18401,3,4623270.0,33.73,13.6,10.4,10,1,2.8,1,0,1,0,0,1,4,1,1281,1,55.774897,37.625046000000005,0,2021,2,14,False,True,True,1,False,0,0.060621282886874225,0.8473002553701641,33.73,1,0.7142857142857143,0.007037593693868065,0
7973,4,482864460.0,426.0,20.0,276.0,4,6,2.8,0,4,2,2,1,1,4,1,6131,0,55.771236,37.606694,0,2016,2,4,True,True,False,0,False,4,0.045427221722341656,0.6387510873598482,71.0,4,1.0,0.0063515456386633645,8
16221,4,79900000.0,205.0,10.7,30.9,20,5,2.8,0,0,2,2,0,0,0,1,4555,0,55.716037,37.503998,7,2017,2,39,True,True,True,0,True,0,0.07789742705538732,-1.813595712391269,41.0,0,0.5128205128205128,0.01105879618222892,8
5724,3,6264480.0,42.1,16.0,15.2,18,1,2.68,0,1,0,1,0,0,4,1,1516,1,55.667081,37.740174,4,2021,3,25,False,True,True,1,False,4,0.1742462402322059,1.9697340964648256,42.1,1,0.72,0.012692731660285615,2
4562,1,15680000.0,119.1,19.9,73.2,2,4,2.8,0,1,1,1,0,1,4,1,8118,0,55.557948,37.557268,6,2017,2,23,False,True,True,0,True,1,0.1782231789056026,-3.0158989124198943,29.775,1,0.08695652173913043,0.010203005831621462,7
21618,3,64993200.0,158.52,20.7,88.5,11,4,3.0,0,0,2,2,0,3,4,1,7203,1,55.714414,37.657907,5,2021,2,17,False,True,True,0,False,4,0.08089806225022642,1.8250938057504833,39.63,0,0.6470588235294118,0.007020715419383743,8
2988,4,84175990.0,183.0,10.7,30.9,3,5,2.8,3,0,1,1,0,2,0,2,9210,0,55.761249,37.547153,0,2017,2,10,True,True,True,3,False,0,0.0418913975639271,-0.8864040881055866,36.6,3,0.3,0.01255596312514705,8
1842,3,7748650.0,34.06,11.0,11.8,7,1,2.72,1,0,0,1,0,0,4,1,1656,1,55.802325,37.599858000000005,2,2021,2,14,False,True,True,1,False,4,0.0705286367501344,0.29117773137374336,34.06,1,0.5,0.011362481639143418,0
3291,4,51231600.0,74.9,10.7,30.9,3,2,5.55,0,0,2,2,0,0,4,1,248,1,55.75755600000001,37.651592,0,2018,2,4,False,True,False,1,True,0,0.07550327405749385,1.264161366148602,37.45,0,0.75,0.005804860032765165,8
7937,4,108000000.0,145.0,10.7,30.9,2,4,3.2,0,0,1,1,0,0,3,2,4993,0,55.75993199999999,37.561275,0,2010,0,12,True,True,True,0,True,0,0.031137818526849204,-0.6296389801385157,36.25,0,0.16666666666666666,0.005068061661038301,8
6250,3,6132452.0,49.04,6.2,28.5,1,2,2.8,1,0,2,2,0,0,4,1,3796,1,55.494339,37.328809,11,2020,2,9,False,True,True,1,False,4,0.3474279527527529,-2.3350761996209224,24.52,1,0.1111111111111111,0.1329288509015283,1
5364,1,5850000.0,27.0,6.0,18.0,2,1,2.7,1,0,1,0,0,0,4,2,6117,0,55.607534,37.612623,5,1972,3,9,False,True,True,1,True,0,0.13144423917616926,2.8877230761045856,27.0,1,0.2222222222222222,0.009554877550236545,7
13685,0,6808560.0,69.36,10.7,39.5,14,3,2.8,0,1,2,2,0,1,4,1,3804,1,55.509406000000006,37.349928000000006,11,2019,2,17,False,True,True,3,False,4,0.3217776391432737,-2.3466935973873126,23.12,1,0.8235294117647058,0.10857695713178854,1
5388,1,6200000.0,39.3,9.0,19.0,1,1,2.8,0,1,2,2,0,0,1,1,332,0,55.62205,37.6964,5,1984,3,14,False,True,True,3,True,0,0.16230980505718753,2.338444041077088,39.3,1,0.07142857142857142,0.00897621858022875,2
18691,4,19200000.0,60.0,8.2,30.3,11,2,2.7,0,1,0,1,2,0,0,2,8442,0,55.774219,37.468775,8,2005,2,17,False,True,True,0,True,0,0.11764835269534327,-1.2288154580107409,30.0,1,0.6470588235294118,0.01563061694239868,3
14784,4,68900000.0,140.0,15.0,90.0,8,3,2.8,0,0,1,0,0,2,2,2,7926,0,55.693591000000005,37.532439,7,2010,2,19,True,True,True,3,True,4,0.06261366877750417,-2.2884125701630724,46.666666666666664,0,0.42105263157894735,0.0013127840645030002,8
16502,0,7300000.0,30.6,5.5,18.9,1,1,2.48,0,0,1,0,0,0,1,1,8054,0,55.781595,37.46317,8,1961,4,5,True,False,False,3,False,0,0.1255047661318548,-1.1884138616823994,30.6,0,0.2,0.022615811393804572,3
8897,0,6450000.0,39.3,8.0,17.2,7,1,2.8,1,0,1,0,0,1,2,2,1396,0,55.601635,37.33498,11,2007,2,9,True,True,True,3,True,0,0.27850991060322594,-2.0691825773559254,39.3,1,0.7777777777777778,0.03226621491591011,1
11143,1,6650000.0,38.0,8.0,19.0,1,1,2.8,1,0,1,0,0,0,1,2,4309,0,55.868228,37.590542,2,1989,3,16,False,True,False,3,False,0,0.13390976026774135,0.08172353853808897,38.0,1,0.0625,0.014991135647443445,0
20888,4,23000000.0,80.0,10.6,53.0,13,3,2.8,1,0,1,1,1,1,3,1,7018,0,55.716691,37.446506,7,1990,0,15,False,True,False,3,True,0,0.13432613094115312,-1.7057600333439473,26.666666666666668,1,0.8666666666666667,0.014022101019463488,3
88,3,3693755.0,28.41,7.0,13.8,4,1,2.8,1,0,0,1,0,1,4,1,940,1,55.47444399999999,37.512128,11,2021,2,13,False,True,True,1,False,4,0.2689256587704323,-2.8879476210858286,28.41,1,0.3076923076923077,0.06366198803054073,7
17898,3,8509440.0,76.8,17.5,42.1,2,3,2.65,0,2,1,1,0,0,4,1,6383,1,55.617017,37.413718,11,2022,3,9,False,True,True,1,False,4,0.20343299738139456,-2.1880596111034487,25.599999999999998,2,0.2222222222222222,0.011748021663241164,1
1153,4,115000000.0,218.0,30.0,80.0,9,4,2.8,0,0,1,1,0,2,3,2,6451,0,55.798480000000005,37.520671,1,2006,5,57,True,True,True,0,True,0,0.08679548619591902,-0.7464853703339823,54.5,0,0.15789473684210525,0.008524789792126187,3
9658,0,9000000.0,60.0,6.0,44.0,9,3,2.8,0,0,1,0,1,1,1,2,3354,0,55.625328,37.605373,5,1969,3,9,False,True,False,1,True,0,0.11242861923275553,2.910393926373902,20.0,0,1.0,0.004661363856215964,8
11054,1,10950000.0,46.0,14.0,22.0,27,1,2.8,1,0,1,1,0,0,2,1,3114,0,55.81084,37.727688,3,2013,7,30,False,True,True,3,True,4,0.16647611692566133,1.0962089502658003,46.0,1,0.9,0.011194219222436795,5
8155,2,5700000.0,35.0,10.0,20.0,2,1,2.64,1,0,1,0,0,0,0,2,5561,0,55.743573,37.75488,3,1969,7,12,False,True,False,3,True,4,0.17549057304250357,1.520585441026957,35.0,1,0.16666666666666666,0.014851637249810638,5
14987,4,8200000.0,51.8,9.7,31.2,4,2,2.8,0,0,2,2,0,0,4,2,178,0,55.714085,37.806506,4,1974,4,12,True,False,False,3,False,0,0.22783588974971689,1.6616892381613444,25.9,0,0.3333333333333333,0.011692564346629379,5
2479,4,191862600.0,625.0,20.0,500.0,8,6,2.8,4,4,1,1,4,0,0,2,6720,0,55.714186,37.477031,7,2010,2,9,False,True,True,0,True,1,0.10462349621560396,-1.768784651612826,104.16666666666667,8,0.8888888888888888,0.016701771073750947,3
13806,4,38800000.0,108.6,34.6,59.5,34,3,2.8,2,0,1,0,0,1,1,1,3200,0,55.714876,37.504636,7,2006,2,50,True,True,True,3,True,0,0.07756783631588285,-1.8301024646604191,36.199999999999996,2,0.68,0.012363845356525549,8
11061,1,11000000.0,55.0,6.0,41.0,1,3,2.8,1,0,1,0,0,0,1,1,2114,0,55.795312,37.721436,3,1964,4,5,True,False,False,3,False,0,0.15420883205033314,1.1673080943341858,18.333333333333332,1,0.2,0.006412568908009242,5
5511,1,7500000.0,39.0,9.0,20.0,18,1,2.8,0,1,0,1,1,0,1,1,7619,0,55.64665,37.657637,5,2002,3,18,False,True,True,3,True,0,0.1176962263410869,2.4168439116372125,39.0,1,1.0,0.010920287038350249,2
13786,4,18700000.0,63.3,10.9,35.0,2,2,3.3,0,1,1,0,1,0,1,1,6925,0,55.745904,37.55991,7,1939,0,7,False,True,False,1,True,0,0.022631553402310524,-1.0562021308372869,31.65,1,0.2857142857142857,0.004675523072340154,8
11872,1,5790000.0,20.0,5.0,8.5,3,1,2.8,1,0,1,0,0,0,2,2,8684,1,55.601203000000005,37.727553,5,2019,2,16,True,True,True,1,False,4,0.19931333673766014,2.3051553605909,20.0,1,0.1875,0.01312473306394535,2
13972,3,27554800.0,96.45,15.3,46.6,17,3,3.0,1,1,2,2,0,1,4,1,7203,1,55.714414,37.657907,5,2021,2,17,False,True,True,0,False,4,0.08089806225022642,1.8250938057504833,32.15,2,1.0,0.007020715419383743,8
17306,4,27900000.0,56.0,9.0,34.0,8,2,3.0,0,1,0,1,1,0,3,2,8612,0,55.738916,37.584649,0,1959,0,8,False,True,False,3,False,4,0.006528010895581095,0.8816871320545806,28.0,1,1.0,0.0075682796592141865,8
20218,4,130000000.0,208.0,18.0,122.0,4,4,3.2,2,0,1,1,2,0,3,2,1850,0,55.762622,37.611113,0,1955,0,9,True,True,False,1,False,0,0.04205240290881362,0.8467364474617518,52.0,2,0.4444444444444444,0.00227109070713264,8
15621,4,138000000.0,150.0,10.7,30.9,8,3,2.8,0,0,2,2,0,0,0,1,7899,0,55.74226,37.633796,0,2012,2,10,True,True,True,3,True,4,0.05470128279844034,1.4333500938281032,50.0,0,0.8,0.004362707416269123,8
16909,4,37700000.0,182.9,22.0,125.0,29,5,3.2,2,0,1,1,0,2,0,1,4099,0,55.65462,37.591467,6,2010,2,30,True,True,True,0,True,0,0.08101741620693487,2.994721324425546,36.58,2,0.9666666666666667,0.007279758855893321,8
14636,2,20500000.0,75.3,10.7,42.6,15,2,2.8,1,1,1,1,0,0,1,1,944,0,55.78116,37.451061,8,2011,2,32,False,True,True,0,False,0,0.13666557677156668,-1.2244353874634517,37.65,2,0.46875,0.030051684162453463,3
22147,4,219904650.0,230.0,29.0,30.9,9,5,2.8,0,2,2,2,0,0,4,1,8316,0,55.77486700000001,37.601609,0,2013,2,10,True,True,True,0,True,0,0.0457393360866355,0.5017396431407442,46.0,2,0.9,0.00517199864654845,0
5400,2,6400000.0,60.53,14.0,32.0,11,2,2.8,0,1,1,1,0,1,4,1,3104,1,55.603873,37.651035,5,2021,7,18,False,True,True,0,True,4,0.14911138131073878,2.642077103575166,30.265,1,0.6111111111111112,0.02538639308763941,2
14584,3,14084600.0,40.1,7.976369431731202,30.9,12,1,2.8,0,0,2,2,0,0,4,1,6542,1,55.79748299999999,37.495096,8,2011,2,18,False,True,True,0,True,0,0.10524373670632535,-0.9323738390344571,40.1,0,0.6666666666666666,0.004041572095123196,3
14290,1,9200000.0,59.0,6.0,38.0,2,3,2.8,1,0,2,2,0,1,2,1,8119,0,55.716696,37.828883000000005,3,2013,7,9,False,True,False,1,False,4,0.24992643939111003,1.6431573916713054,19.666666666666668,1,0.2222222222222222,0.010838556407569666,6
16345,4,12300000.0,75.0,10.7,30.9,12,3,2.8,0,1,2,2,1,0,3,1,1095,0,55.602861,37.357690000000005,11,2015,3,25,False,True,True,3,False,1,0.25816169458974253,-2.1070698963607266,25.0,1,0.48,0.036823283680306455,1
19732,1,6400000.0,47.0,6.0,31.0,6,2,2.8,0,1,0,1,0,1,1,1,1399,0,55.746203,37.702445,4,1973,3,9,True,True,False,3,False,0,0.1233657747486095,1.4779481646040469,23.5,1,0.6666666666666666,0.017770532743843267,5
6432,4,46000000.0,226.0,25.0,160.0,6,5,3.1,3,0,1,1,0,0,0,2,1240,0,55.780846,37.449147,8,2011,2,48,False,True,True,0,True,0,0.13836254468288833,-1.2312661337189617,45.2,3,0.125,0.031115850060695227,3
20894,4,33000000.0,104.6,10.7,30.9,4,3,2.8,2,0,2,2,0,0,2,1,2922,0,55.655214,37.47315,7,2003,2,12,True,True,True,2,True,0,0.13289938590282654,-2.212525967674148,34.86666666666667,2,0.3333333333333333,0.009336653361888467,7
21655,4,26000000.0,70.8,10.2,39.2,14,2,2.8,1,1,0,1,0,1,3,1,9291,0,55.677275,37.53738,6,2009,2,19,True,True,True,2,True,1,0.07133402044579408,-2.508039564474404,35.4,2,0.7368421052631579,0.01585881537189735,8
12355,0,6500000.0,44.0,12.0,19.0,4,1,2.65,1,0,1,0,0,1,2,1,875,0,55.746203,37.702445,4,2007,2,14,False,True,True,1,True,0,0.1233657747486095,1.4779481646040469,44.0,1,0.2857142857142857,0.017770532743843267,5
11603,4,12500000.0,52.2,10.7,30.9,11,2,2.8,0,1,2,2,1,0,1,1,7697,0,55.660511,37.51132,6,2007,4,21,False,True,True,1,True,0,0.10088253955846077,-2.398006557536653,26.1,1,0.5238095238095238,0.017421174501166196,8
20803,2,22500000.0,80.0,10.5,30.9,11,3,2.64,1,0,1,0,0,1,3,1,7236,0,55.662786,37.52307,6,2004,3,22,False,True,True,3,True,0,0.09153053812102048,-2.475747639946097,26.666666666666668,1,0.5,0.018333998363699196,8
5974,0,5900000.0,36.4,7.2,22.2,1,2,2.64,1,0,1,1,0,0,1,1,6714,0,55.706,37.756515,4,1962,4,9,False,True,False,1,True,0,0.17922779402426647,1.731988461159059,18.2,1,0.1111111111111111,0.009093801460334668,5
20878,4,13000000.0,67.0,8.2,39.0,4,3,2.8,1,0,1,0,1,1,2,2,8831,0,55.715601,37.457322,7,1982,3,12,False,True,False,3,True,0,0.12378112305455902,-1.7262446182628661,22.333333333333332,1,0.3333333333333333,0.018932561501283675,3
9792,1,7350000.0,82.24,14.9,41.8,13,2,2.8,0,1,1,0,0,1,4,2,4301,1,55.603746,37.655751,5,2020,7,18,True,True,True,0,False,4,0.15153673610943583,2.615156675027284,41.12,1,0.7222222222222222,0.02231499309881217,2
15336,4,60390000.0,134.0,10.0,95.0,73,3,3.5,0,3,0,1,0,0,0,1,5745,0,55.749511,37.537083,0,2011,2,95,True,True,True,0,True,0,0.04501151237105119,-1.2370325537870281,44.666666666666664,3,0.7684210526315789,0.0034055851185948046,8
3713,2,11100000.0,55.0,10.5,30.0,3,2,2.7,0,1,1,0,0,2,1,1,5950,0,55.89784100000001,37.398662,8,2016,2,6,False,True,True,0,True,0,0.24359007186814297,-0.8373035155289043,27.5,1,0.5,0.052949131484852564,3
10210,2,7400000.0,38.5,7.3,19.0,17,1,2.74,1,0,1,0,0,1,1,1,4481,0,55.56618100000001,37.578612,6,2002,3,17,False,True,True,3,True,0,0.1685871224678118,-3.135669283811885,38.5,1,1.0,0.0034062449999908485,7
8851,2,7800000.0,52.0,8.0,30.0,6,2,2.8,0,1,1,1,1,0,1,1,8894,0,55.976493000000005,37.168172,9,2010,2,10,False,True,False,3,True,0,0.4771939502921713,-1.0396048694958497,26.0,1,0.6,0.22164662242633373,9
22030,3,178966946.0,196.6,24.4,107.7,7,4,3.23,2,1,1,1,1,0,4,1,1895,1,55.770041000000006,37.576663,0,2021,2,7,False,True,True,0,False,4,0.03539876938907252,-0.0833649023640716,49.15,3,1.0,0.00877201516187271,8
22167,3,7207920.0,37.6,18.1,10.1,8,1,2.8,1,0,1,0,0,0,4,1,9735,1,55.86095400000001,37.541844,1,2021,2,23,False,True,True,1,False,4,0.13171916346423215,-0.2908019569351266,37.6,1,0.34782608695652173,0.007619058472013615,0
1418,3,10127000.0,49.4,10.0,27.6,9,2,2.8,1,0,0,1,0,0,4,1,6357,1,55.858609,37.546327000000005,1,2021,2,39,False,True,True,0,False,4,0.12823842397391555,-0.26255067431884915,24.7,1,0.23076923076923078,0.006688617943938732,0
5323,2,7100000.0,45.0,6.0,28.2,3,2,2.8,0,1,1,0,0,0,1,1,7943,0,55.624444,37.72396,5,1974,3,9,False,True,True,1,True,0,0.18167968868535572,2.223364565440254,22.5,1,0.3333333333333333,0.014659070093288285,2
13362,4,13200000.0,62.0,10.7,30.9,3,3,2.8,0,1,2,2,1,0,2,1,5004,0,55.638079000000005,37.51238,6,1967,3,9,False,True,False,3,True,0,0.11776318524568075,-2.5339952006065056,20.666666666666668,1,0.3333333333333333,0.008003451817812207,7
20651,4,16850000.0,74.5,10.7,30.9,10,3,2.8,0,1,1,0,1,0,0,1,9366,0,55.690187,37.657781,5,2017,2,15,False,True,True,1,False,4,0.08998791326001336,2.089067942819795,24.833333333333332,1,0.6666666666666666,0.007943219120731735,2
6420,3,11089067.0,89.7,24.3,41.4,11,3,2.89,1,1,1,0,0,1,4,1,3721,1,55.565875,37.500935,11,2019,7,14,False,True,True,0,False,4,0.18631622992574687,-2.7056454964460555,29.900000000000002,2,0.7857142857142857,0.0315908823871715,7
12714,4,10800000.0,80.0,10.7,30.9,6,3,2.8,0,1,2,2,1,0,1,1,3834,0,55.703048,37.918409,4,2011,2,17,False,True,True,1,True,3,0.34027979036475775,1.6641408991320965,26.666666666666668,1,0.35294117647058826,0.008010042758941058,6
6496,4,13231000.0,65.5,13.02873311168064,35.29972409026271,12,2,3.1,2,0,2,2,0,0,0,2,3510,0,55.785275,37.493793,8,2011,2,32,True,True,True,0,False,0,0.09957863008805458,-1.0388221492539371,32.75,2,0.375,0.008230217129581057,3
10076,1,7700000.0,44.1,6.0,29.0,2,2,2.8,1,0,1,0,1,0,1,1,3024,0,55.66686800000001,37.619647,5,1962,0,5,True,False,False,3,False,0,0.0788221954022278,2.6088090424608525,22.05,1,0.4,0.010775436557280825,8
